"Age","State","Income","Education","Employment","Marital","Smokes","Political","Name","Occupation"
19,"Virginia",124372.99,"Some College, 1 or More Years, No Degree","Retired","Divorced",FALSE,"Democrat","Alejandra","Lawyer"
20,"New York",24104.03,"Bachelor's Degree","Full Time","Divorced",FALSE,"Democrat","Lynsay","Data Scientist"
20,"Mississippi",44743.06,"Bachelor's Degree","Retired","Married",FALSE,"Democrat","Monise","Lawyer"
60,"California",35795.61,"Regular High School Diploma","Full Time","Married",FALSE,"Republican","Tineshia","Construction"
33,"North Carolina",79870.98,"Bachelor's Degree","Retired","Widowed",FALSE,"Republican","Iveth","Unemployed"
25,"North Carolina",48383.12,"Associate's Degree","Full Time","Widowed",TRUE,"Republican","Ryusei","Teacher"
24,"Mississippi",12818.68,"Some College, Less than 1 Year","Full Time","Married",TRUE,"Republican","Kehlani","Doctor"
86,"Kansas",52193.4,"9th Grade to 12th Grade, No Diploma","Full Time","Separated",FALSE,"Democrat","Sequita","Doctor"
82,"Ohio",30503.59,"Associate's Degree","Student","Never Married",FALSE,"Democrat","Halyna","Teacher"
64,"Illinois",1232.3,"Regular High School Diploma","Retired","Never Married",TRUE,"Republican","Caimon","Construction"
23,"Tennessee",28851.71,"Regular High School Diploma","Full Time","Separated",FALSE,"Democrat","Staccato","Teacher"
80,"South Dakota",54682.11,"Regular High School Diploma","Full Time","Widowed",FALSE,"Democrat","Lakechia","Farmer"
65,"California",108162.21,"Associate's Degree","Retired","Divorced",FALSE,"Democrat","Cloise","Unemployed"
33,"Illinois",45204.64,"Regular High School Diploma","Full Time","Widowed",FALSE,"Republican","Culleen","Doctor"
51,"Pennsylvania",39492.71,"Associate's Degree","Retired","Married",FALSE,"Democrat","Azula","Data Scientist"
36,"Pennsylvania",3798.14,"Regular High School Diploma","Retired","Widowed",FALSE,"Democrat","Aymeric","Lawyer"
77,"Florida",27729.54,"Regular High School Diploma","Full Time","Widowed",FALSE,"Republican","Stefin","Lawyer"
83,"Texas",23752.37,"Regular High School Diploma","Full Time","Separated",FALSE,"Democrat","Sanav","Farmer"
52,"Louisiana",56502.61,"Regular High School Diploma","Student","Separated",FALSE,"Democrat","Aalycia","Unemployed"
38,"Arizona",47703.36,"9th Grade to 12th Grade, No Diploma","Full Time","Married",FALSE,"Republican","Shateria","Marketer"
56,"Ohio",6028.45,"Associate's Degree","Full Time","Divorced",FALSE,"Republican","Breaun","Doctor"
76,"Pennsylvania",58572.88,"Bachelor's Degree","Full Time","Divorced",FALSE,"Republican","Iyla","Marketer"
70,"Ohio",126133.73,"Master's Degree","Student","Married",FALSE,"Democrat","Lesleyann","Unemployed"
70,"Utah",8257.94,"Regular High School Diploma","Unemployed","Married",FALSE,"Republican","Seda","Unemployed"
41,"Georgia",15010.13,"Regular High School Diploma","Full Time","Divorced",FALSE,"Republican","Rasia","Unemployed"
50,"New York",59575.76,"Nursery School to 8th Grade","Full Time","Separated",FALSE,"Republican","Lekeisha","Data Scientist"
61,"New York",41370.27,"Master's Degree","Student","Widowed",TRUE,"Democrat","Wynogene","Lawyer"
56,"Pennsylvania",84165.19,"GED or Alternative Credential","Full Time","Married",TRUE,"Democrat","Dominga","Marketer"
85,"California",56022.88,"Professional School Degree","Full Time","Never Married",FALSE,"Democrat","Malakye","Marketer"
52,"New Jersey",11540.96,"Master's Degree","Full Time","Never Married",FALSE,"Republican","Lindy","Farmer"
44,"Arizona",48376.96,"Some College, 1 or More Years, No Degree","Full Time","Separated",FALSE,"Democrat","Zoejane","Construction"
47,"Georgia",67603.13,"Regular High School Diploma","Part Time","Widowed",FALSE,"Democrat","Jamaca","Construction"
41,"Texas",30822.81,"Associate's Degree","Full Time","Separated",TRUE,"Republican","Mayceon","Data Scientist"
51,"Mississippi",79266.06,"9th Grade to 12th Grade, No Diploma","Student","Divorced",FALSE,"Republican","Johnthomas","Teacher"
38,"Pennsylvania",48329.36,"Master's Degree","Full Time","Widowed",FALSE,"Republican","Vidur","Doctor"
57,"South Carolina",46411.81,"Bachelor's Degree","Full Time","Married",TRUE,"Democrat","Anselmi","Lawyer"
88,"California",6901.4,"Regular High School Diploma","Full Time","Never Married",TRUE,"Republican","Sylester","Unemployed"
66,"Wisconsin",52579.86,"9th Grade to 12th Grade, No Diploma","Unemployed","Separated",FALSE,"Democrat","Shaundale","Teacher"
41,"New Jersey",21814.83,"Associate's Degree","Full Time","Widowed",TRUE,"Democrat","Emme","Lawyer"
85,"Oklahoma",12521.27,"Associate's Degree","Unemployed","Married",TRUE,"Republican","Chritian","Data Scientist"
82,"New York",63793.72,"Master's Degree","Full Time","Widowed",TRUE,"Democrat","Danelle","Unemployed"
67,"California",43301.77,"Master's Degree","Unemployed","Never Married",TRUE,"Republican","Mikaylia","Marketer"
89,"South Carolina",17448.21,"Some College, Less than 1 Year","Unemployed","Widowed",TRUE,"Democrat","Kohlston","Unemployed"
22,"Maryland",146926.93,"Master's Degree","Full Time","Separated",TRUE,"Democrat","Vishruth","Doctor"
28,"Missouri",5089.64,"Regular High School Diploma","Full Time","Divorced",FALSE,"Democrat","Lonnesha","Data Scientist"
48,"Maryland",17466.63,"Associate's Degree","Part Time","Divorced",FALSE,"Republican","Deejay","Marketer"
43,"California",48810.59,"No Schooling Completed","Part Time","Never Married",FALSE,"Democrat","Johnae","Doctor"
46,"Kentucky",43764.82,"Regular High School Diploma","Student","Widowed",FALSE,"Republican","Masiel","Doctor"
25,"Ohio",31962.18,"Some College, 1 or More Years, No Degree","Unemployed","Divorced",FALSE,"Democrat","Ezquiel","Farmer"
67,"New York",57697.67,"9th Grade to 12th Grade, No Diploma","Unemployed","Divorced",TRUE,"Republican","Lovonia","Data Scientist"
